q0,deltaQ0,wMu,firstmoment,secondmoment,thirdmoment,skewness
0.275,0.001,0.06918367346938775,0.275682,0.076,0.020954,0.653593
0.275,0.001,0.07510204081632653,0.275797,0.0761,0.02098,0.927803
0.275,0.001,0.08102040816326529,0.275922,0.0761,0.021009,1.192432
0.275,0.001,0.08693877551020407,0.276056,0.0762,0.02104,1.433867
0.275,0.001,0.09285714285714285,0.276199,0.0763,0.021073,1.64515
0.275,0.001,0.09877551020408162,0.276352,0.0764,0.021109,1.824577
0.275,0.001,0.1046938775510204,0.276514,0.0765,0.021147,1.973811
0.275,0.001,0.11061224489795918,0.276684,0.0766,0.021187,2.096238
0.275,0.001,0.11653061224489795,0.276864,0.0767,0.021229,2.19583
0.275,0.001,0.12244897959183673,0.277053,0.0768,0.021274,2.276462
0.275,0.001,0.12836734693877552,0.27725,0.0769,0.021321,2.341581
0.275,0.001,0.13428571428571429,0.277456,0.077,0.02137,2.394092
0.275,0.001,0.14020408163265308,0.277671,0.0771,0.021421,2.436369
0.275,0.001,0.14612244897959184,0.277895,0.0772,0.021475,2.470311
0.275,0.001,0.1520408163265306,0.278127,0.0774,0.021531,2.497432
0.275,0.001,0.1579591836734694,0.278367,0.0775,0.021589,2.518936
0.275,0.001,0.16387755102040816,0.278616,0.0777,0.02165,2.535784
0.275,0.001,0.16979591836734695,0.278874,0.0778,0.021713,2.548754
0.275,0.001,0.1757142857142857,0.279139,0.078,0.021779,2.558477
0.275,0.001,0.1816326530612245,0.279413,0.0781,0.021847,2.565473
0.275,0.001,0.18755102040816327,0.279695,0.0783,0.021917,2.570174
0.275,0.001,0.19346938775510206,0.279986,0.0784,0.02199,2.572939
0.275,0.001,0.19938775510204082,0.280284,0.0786,0.022065,2.574072
0.275,0.001,0.20530612244897958,0.280591,0.0788,0.022143,2.573827
0.275,0.001,0.21122448979591837,0.280905,0.079,0.022223,2.572417
0.275,0.001,0.21714285714285714,0.281227,0.0792,0.022306,2.570023
0.275,0.001,0.22306122448979593,0.281558,0.0794,0.022391,2.566793
0.275,0.001,0.2289795918367347,0.281896,0.0796,0.022479,2.562849
0.275,0.001,0.23489795918367348,0.282242,0.0798,0.02257,2.558288
0.275,0.001,0.24081632653061225,0.282595,0.08,0.022663,2.55318
0.275,0.001,0.24673469387755104,0.282956,0.0802,0.022759,2.547573
0.275,0.001,0.25265306122448977,0.283325,0.0804,0.022857,2.541493
0.275,0.001,0.25857142857142856,0.283701,0.0806,0.022959,2.534943
0.275,0.001,0.26448979591836735,0.284085,0.0809,0.023063,2.527907
0.275,0.001,0.27040816326530615,0.284477,0.0811,0.02317,2.52035
0.275,0.001,0.2763265306122449,0.284875,0.0813,0.023279,2.512221
0.275,0.001,0.28224489795918367,0.285281,0.0816,0.023392,2.503459
0.275,0.001,0.28816326530612246,0.285694,0.0818,0.023507,2.493995
0.275,0.001,0.2940816326530612,0.286114,0.0821,0.023625,2.483757
0.275,0.001,0.3,0.286541,0.0823,0.023746,2.472672
0.276,0.001,0.01,0.276021,0.0762,0.02103,-0.122509
0.276,0.001,0.015918367346938776,0.276038,0.0762,0.021034,-0.070622
0.276,0.001,0.02183673469387755,0.276063,0.0762,0.02104,0.006417
0.276,0.001,0.027755102040816326,0.276096,0.0762,0.021047,0.103341
0.276,0.001,0.0336734693877551,0.27614,0.0763,0.021057,0.21036
0.276,0.001,0.03959183673469388,0.276195,0.0763,0.02107,0.3194
0.276,0.001,0.04551020408163265,0.276261,0.0763,0.021085,0.43362
0.276,0.001,0.05142857142857143,0.276338,0.0764,0.021103,0.564671
0.276,0.001,0.057346938775510205,0.276425,0.0764,0.021123,0.721657
0.276,0.001,0.06326530612244897,0.276523,0.0765,0.021146,0.904405
0.276,0.001,0.06918367346938775,0.27663,0.0765,0.02117,1.104141
0.276,0.001,0.07510204081632653,0.276746,0.0766,0.021197,1.308166
0.276,0.001,0.08102040816326529,0.276872,0.0767,0.021227,1.504557
0.276,0.001,0.08693877551020407,0.277008,0.0767,0.021258,1.684834
0.276,0.001,0.09285714285714285,0.277152,0.0768,0.021292,1.84447
0.276,0.001,0.09877551020408162,0.277306,0.0769,0.021328,1.982124
0.276,0.001,0.1046938775510204,0.277469,0.077,0.021367,2.098529
0.276,0.001,0.11061224489795918,0.277641,0.0771,0.021407,2.195527
0.276,0.001,0.11653061224489795,0.277822,0.0772,0.02145,2.275418
0.276,0.001,0.12244897959183673,0.278011,0.0773,0.021495,2.340576
0.276,0.001,0.12836734693877552,0.27821,0.0774,0.021543,2.393253
0.276,0.001,0.13428571428571429,0.278418,0.0775,0.021593,2.435483
0.276,0.001,0.14020408163265308,0.278634,0.0777,0.021645,2.469052
0.276,0.001,0.14612244897959184,0.27886,0.0778,0.021699,2.495491
0.276,0.001,0.1520408163265306,0.279093,0.0779,0.021756,2.516095
0.276,0.001,0.1579591836734694,0.279336,0.0781,0.021816,2.531939
0.276,0.001,0.16387755102040816,0.279587,0.0782,0.021877,2.543909
0.276,0.001,0.16979591836734695,0.279846,0.0783,0.021941,2.552727
0.276,0.001,0.1757142857142857,0.280114,0.0785,0.022008,2.558974
0.276,0.001,0.1816326530612245,0.28039,0.0787,0.022077,2.563122
0.276,0.001,0.18755102040816327,0.280674,0.0788,0.022148,2.565547
0.276,0.001,0.19346938775510206,0.280966,0.079,0.022222,2.566551
0.276,0.001,0.19938775510204082,0.281267,0.0792,0.022298,2.566375
0.276,0.001,0.20530612244897958,0.281575,0.0793,0.022377,2.565215
0.276,0.001,0.21122448979591837,0.281891,0.0795,0.022458,2.563227
